,City:,Latitude:,Longitude:,Max Temp:,Humidity:,Cloud Coverage:,Wind:,Country:,Date:
0,ponta do sol,32.6667,-17.1,74.01,88,64,4.83,PT,1628393310
1,richards bay,-28.783,32.0377,57.9,92,3,7.47,ZA,1628393335
2,muyezerskiy,63.9333,31.65,53.17,90,100,13.44,RU,1628393478
3,saint george,37.1041,-113.5841,92.62,12,1,1.99,US,1628393293
4,saint-pierre,-21.3393,55.4781,71.24,63,0,6.91,RE,1628393394
5,salalah,17.0151,54.0924,77.09,94,90,2.3,OM,1628393690
6,kidal,18.4411,1.4078,84.54,48,93,10.47,ML,1628393744
7,clyde river,70.4692,-68.5914,37.63,100,90,3.44,CA,1628393072
8,cyangugu,-2.4846,28.9075,61.34,76,79,0.98,RW,1628393745
9,bergen,60.392,5.328,60.15,81,75,0.0,NO,1628393745
10,bengkulu,-3.8004,102.2655,84.11,69,9,2.21,ID,1628393334
11,morondava,-20.2833,44.2833,65.28,56,0,9.46,MG,1628393353
12,bondo,3.8146,23.6866,67.95,99,99,1.77,CD,1628393322
13,sacramento,38.4666,-121.3177,88.18,35,20,4.61,US,1628393582
14,lerwick,60.1545,-1.1494,57.2,91,89,10.0,GB,1628393746
15,bambous virieux,-20.3428,57.7575,67.21,94,75,3.44,MU,1628393310
16,cascais,38.6979,-9.4215,64.47,76,0,5.99,PT,1628393747
17,dalvik,65.9702,-18.5286,51.73,85,96,3.13,IS,1628393747
18,bredasdorp,-34.5322,20.0403,49.32,93,93,3.44,ZA,1628393307
19,dikson,73.5069,80.5464,46.67,75,5,7.99,RU,1628393315
20,mar del plata,-38.0023,-57.5575,48.22,81,0,9.22,AR,1628393133
21,mahibadhoo,3.7833,72.9667,81.59,76,100,10.2,MV,1628393375
22,hofn,64.2539,-15.2082,55.02,80,99,11.1,IS,1628393702
23,hermanus,-34.4187,19.2345,47.89,65,71,2.8,ZA,1628393279
24,port elizabeth,-33.918,25.5701,44.89,93,0,2.3,ZA,1628393262
25,lasa,46.6166,10.7002,62.06,97,72,2.13,IT,1628393296
26,ushuaia,-54.8,-68.3,33.46,86,40,33.38,AR,1628393492
27,torbay,47.6666,-52.7314,67.68,93,75,17.27,CA,1628393291
28,bubaque,11.2833,-15.8333,78.78,77,89,11.12,GW,1628393750
29,husavik,66.0449,-17.3389,51.71,83,69,2.17,IS,1628393296
30,ilulissat,69.2167,-51.1,42.82,75,96,0.0,GL,1628393292
31,gelemso,8.8167,40.5167,63.0,73,53,3.87,ET,1628393751
32,challans,46.8436,-1.8749,58.91,84,29,12.19,FR,1628393752
33,longyearbyen,78.2186,15.6401,43.43,91,99,5.28,SJ,1628393323
34,mahebourg,-20.4081,57.7,67.24,94,75,3.44,MU,1628393305
35,rundu,-17.9333,19.7667,51.53,28,0,5.14,NA,1628393753
36,kita,13.0349,-9.4895,70.43,98,74,3.06,ML,1628393753
37,luis correia,-2.8792,-41.6669,76.23,80,15,8.46,BR,1628393754
38,saint-philippe,-21.3585,55.7679,71.15,77,61,8.59,RE,1628393281
39,luderitz,-26.6481,15.1594,58.42,56,10,7.25,NA,1628393341
40,cape town,-33.9258,18.4232,48.61,100,90,3.44,ZA,1628393223
41,victoria,22.2855,114.1577,89.96,87,100,1.01,HK,1628393314
42,port alfred,-33.5906,26.891,59.79,49,90,9.13,ZA,1628393259
43,ribeira grande,38.5167,-28.7,69.44,72,68,9.91,PT,1628393341
44,taloqan,36.7361,69.5345,91.85,14,72,1.28,AF,1628393756
45,changji,44.0167,87.3167,83.19,36,0,8.95,CN,1628393756
46,aurillac,44.9167,2.45,52.05,97,82,1.07,FR,1628393756
47,arraial do cabo,-22.9661,-42.0278,67.5,81,48,21.68,BR,1628393288
48,ugoofaaru,5.6667,73.0,82.51,75,100,13.89,MV,1628393757
49,fez,34.0372,-4.9998,66.31,94,40,5.75,MA,1628393758
50,upernavik,72.7868,-56.1549,39.42,96,58,8.01,GL,1628393285
51,lidkoping,58.5052,13.1577,52.92,95,53,2.95,SE,1628393758
52,qaanaaq,77.484,-69.3632,40.44,85,98,0.4,GL,1628393315
53,stepanov,49.684,17.2204,64.69,94,100,7.2,CZ,1628393759
54,goure,13.9835,10.2704,77.09,65,100,9.31,NE,1628393759
55,bulawayo,-20.15,28.5833,50.34,62,0,7.36,ZW,1628393760
56,tasiilaq,65.6145,-37.6368,44.76,97,100,11.3,GL,1628393298
